type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.23560697955784868,0.3926905131989274,0.29451169080437994,18367,8710,0.05999793385340097,0.16443119755727295,,
art,0.009603072983323933,0.013286093888337971,0.011148267147252807,3094,2228,0.0017714791851117296,0.0163861824622835,2275,2258
building,0.0023942537908922816,0.0027998133457638836,0.0025811952886019424,2500,2137,0.0004666355576273139,0.012132524498310161,2111,2143
event,0.003933434190608371,0.00604932526753816,0.00476713860561568,3292,2136,0.0004653327128875508,0.013959981386626524,2171,2149
location,0.008282892640942074,0.01185050136731153,0.009750604570050829,3113,2168,0.0018231540565094662,0.01959890610747676,2197,2194
organization,0.0048295454545317345,0.007532122286187275,0.005885402889999153,3503,2240,0.0004430660168345456,0.017279574656547277,2301,2257
other,0.008027113806621428,0.012661789532885026,0.009825322761817001,5561,3509,0.0033764772087693405,0.028418683173808613,3547,3554
person,0.009214230867649824,0.015775635407468118,0.011633538728082093,3871,2246,0.0061349693251264905,0.026730937773765423,2306,2282
product,0.008853792773369578,0.015083571137321308,0.011158017051534361,4142,2416,0.001630656339169871,0.023236852833170663,2467,2453
art-music,0.013784461152795838,0.018998272884119188,0.015976756201156576,1574,1136,0.0017271157167381079,0.012089810017166755,1152,1158
art-writtenart,0.005235602094206574,0.007272727272661158,0.0060882751934596855,1520,1092,0.0018181818181652895,0.020909090908900828,1123,1100
building-hospital,0.00154798761608709,0.0018957345971384292,0.0017042984169837719,1290,1053,0.0,0.01232227488139979,1038,1055
building-theater,0.00329489291595309,0.0036764705882015034,0.0034752339376325,1210,1084,0.0009191176470503758,0.011948529411654887,1073,1088
event-election,0.0,0.0,0.0,1363,983,0.0,0.012207527975460758,983,983
event-sportsevent,0.006694129763096323,0.011149228130264588,0.008365503677153304,1929,1153,0.000857632933097276,0.015437392795750966,1188,1166
location-bodiesofwater,0.005402160864313312,0.008108108108035063,0.006484145056441403,1657,1101,0.0018018018017855696,0.01891891891874848,1083,1110
location-other,0.011541072640790625,0.015682656826423592,0.013296827340881591,1456,1067,0.0018450184501674816,0.020295202951842298,1114,1084
organization-government/governmentagency,0.004432132963964365,0.007434944237849119,0.005553622532877704,1797,1068,0.0,0.016728624535160518,1088,1076
organization-politicalparty,0.005247813411048118,0.007620660457175101,0.0062154647832230354,1706,1172,0.0008467400507972334,0.0177815410667419,1213,1181
other-educationaldegree,0.0051020408162831465,0.004950495049464106,0.005025120629239925,1170,1206,0.00330033003297607,0.01732673267312437,1200,1212
other-livingthing,0.010810810810762114,0.020151133501090254,0.014072115067962824,2196,1167,0.0025188916876362818,0.037783375314544225,1189,1191
other-medical,0.00678733031671137,0.01303214595992153,0.008925910402619195,2195,1136,0.004344048653307176,0.030408340573150235,1158,1151
person-actor,0.0056306306305989266,0.008605851979271896,0.006807347158427445,1766,1152,0.0034423407917087583,0.01721170395854379,1162,1162
person-athlete,0.012200844673804783,0.023214285714078447,0.0159950739208534,2105,1094,0.00892857142849171,0.03660714285681601,1144,1120
product-car,0.008308895405628989,0.013854930725233458,0.010388018533298966,2029,1210,0.0016299918500274656,0.012224938875205992,1231,1227
product-weapon,0.009376465072623645,0.016313213702966452,0.011908301407952484,2113,1206,0.0016313213702966452,0.03425774877622955,1236,1226
