type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.25962290380312697,0.45772058820023587,0.33131849359334997,12477,3393,0.06625312573322051,0.1450441935872696,,
art,0.34978165938711886,0.5585774058538454,0.4301825946174003,1489,633,0.04951185495084023,0.05299860529949095,6697,1434
building,0.32771194165757656,0.5157819225214076,0.4007803742875826,1475,675,0.005738880918179779,0.05093256814884554,6355,1394
event,0.2081875437361505,0.4086538461510395,0.2758460780488298,2263,861,0.0013736263736169394,0.034340659340423484,6561,1456
location,0.22570850202353002,0.44333996023563066,0.29912809747271774,2295,840,0.06693174287563333,0.07157057654028118,6813,1509
organization,0.26039215686172396,0.4170854271330585,0.3206180541746652,1886,928,0.023241206030004766,0.12437185929570119,7330,1592
other,0.20134914145502586,0.4066886870338287,0.2693464544155474,3907,1437,0.03963666391395691,0.10528488852144804,11024,2422
person,0.3440476190462538,0.535846724347739,0.41904301118528464,1653,751,0.06860321384382817,0.11990111248380779,7996,1618
product,0.24581818181728796,0.4144696505186115,0.3086053365710818,2074,955,0.04659717964410425,0.09012875536425427,7010,1631
art-music,0.47194112235076413,0.7008196721215735,0.5640461744035911,574,219,0.03551912568257488,0.0341530054640143,3318,732
art-writtenart,0.2394014962573616,0.41025641025056614,0.3023622000670594,915,414,0.06410256410165097,0.07264957264853776,3379,702
building-hospital,0.339233038344747,0.48866855523387154,0.4004643016005032,672,361,0.009915014164165509,0.0325779036822581,3236,706
building-theater,0.3177570093430947,0.5436046511548894,0.4010723813984202,803,314,0.001453488372071897,0.06976744185945105,3119,688
event-election,0.12998712998629353,0.30981595091549363,0.18313689519964108,1352,450,0.0,0.033742331287826034,3076,652
event-sportsevent,0.30138036809584834,0.48880597014317406,0.37286527042007683,911,411,0.0024875621890237867,0.03482587064633301,3485,804
location-bodiesofwater,0.3306320907590711,0.5491251682294869,0.4127465810401919,826,335,0.047106325705960884,0.021534320322724974,3249,743
location-other,0.15086705202224934,0.34073107049163537,0.20913461112876125,1469,505,0.08616187989443652,0.1201044386407297,3564,766
organization-government/governmentagency,0.22876712328610435,0.4304123711284741,0.2987477593292553,1126,442,0.024484536082158705,0.10309278350382613,3510,776
organization-politicalparty,0.3027522935752041,0.4044117647009263,0.3462749164008505,760,486,0.022058823529141437,0.14460784313548275,3820,816
other-educationaldegree,0.17911646586201516,0.2673860911238923,0.21452620971955993,1022,611,0.0071942446042302845,0.04076738609063828,3647,834
other-livingthing,0.19767441860355664,0.43965517240837865,0.27272726844597056,1449,455,0.055418719211140166,0.1477832512297071,3862,812
other-medical,0.2199891363377513,0.5219072164881198,0.3095147073274141,1436,371,0.057989690720902196,0.13015463917358047,3515,776
person-actor,0.39906103285916594,0.4282115868963701,0.4131227167508848,512,454,0.1108312342555311,0.12846347606891104,4036,794
person-athlete,0.31594724220434084,0.6395631067883548,0.4229534466134777,1141,297,0.027912621358884556,0.11165048543553822,3960,824
product-car,0.262012012010045,0.4346201743407893,0.32693207961303367,983,454,0.03237858032338258,0.09215442092039658,3536,803
product-weapon,0.23060648800965725,0.3949275362271144,0.29118432303611297,1091,501,0.06038647342922238,0.08816425120666468,3474,828
