type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2377550060883938,0.39527977486788374,0.29691764070070353,6094,2940,0.06105456024803747,0.15911188428276432,,
art,0.3562271062238441,0.5299727520363764,0.42606790318314386,703,345,0.04904632152521735,0.07356948228782603,725,734
building,0.26095060577576,0.4046242774508002,0.31728044848718157,793,412,0.015895953756995724,0.0736994219642529,701,692
event,0.18876755070055565,0.341807909599692,0.24321607581556032,1040,466,0.001412429378511124,0.02542372881320023,697,708
location,0.25417075564029273,0.34999999999527026,0.2944854982492185,760,481,0.035135135134660336,0.11216216216064645,760,740
organization,0.22828593389524762,0.38273195875795446,0.2859894031164167,1004,479,0.0438144329891261,0.09664948453483699,793,776
other,0.17832647462195553,0.32718120805094647,0.23083752132741964,1797,802,0.02516778523468819,0.08053691275100222,1195,1192
person,0.2747005988003391,0.460476787949053,0.3441162634829502,969,430,0.02885821831833302,0.09159347553210045,779,797
product,0.22642910170581718,0.4018445322740205,0.28964861836897526,1042,454,0.04874835309553691,0.08695652173798477,742,759
art-music,0.4387917329024039,0.6715328466989895,0.5307692259787168,353,135,0.04136253041261891,0.029197080291260412,409,411
art-writtenart,0.24406047515671575,0.34984520122755897,0.2875318017670882,350,210,0.058823529409943544,0.13003095974829626,316,323
building-hospital,0.234693877547029,0.4131736526822403,0.299349236153886,450,196,0.008982035927874788,0.053892215567248734,345,334
building-theater,0.2927835051486024,0.3966480446816579,0.33689204730003136,343,216,0.022346368714459598,0.09217877094714584,356,358
event-election,0.10549132947824434,0.2159763313545569,0.14174756840339348,619,265,0.0,0.026627218934123453,335,338
event-sportsevent,0.2864406779612468,0.45675675674441196,0.3520833285885851,421,201,0.0027027027026296567,0.02432432432366691,362,370
location-bodiesofwater,0.3092436974737942,0.474226804111489,0.3743641864653743,411,204,0.01546391752537464,0.0515463917512488,392,388
location-other,0.17688679244865832,0.21306818181212875,0.193298964110227,349,277,0.05681818181656766,0.17897727272218814,368,352
organization-government/governmentagency,0.20930232557791856,0.3652173912937618,0.2661034800511146,476,219,0.03768115941919765,0.0840579710120563,358,345
organization-politicalparty,0.24463519312954743,0.39675174013000575,0.3026548625325241,528,260,0.04872389791070246,0.10672853828058634,435,431
other-educationaldegree,0.09531249999851074,0.14489311163551322,0.11498585760482413,579,360,0.0023752969120575938,0.026128266032633532,415,421
other-livingthing,0.181446111866556,0.35466666665720886,0.24007219768371485,600,242,0.03733333333233778,0.15999999999573333,383,375
other-medical,0.24078624078328273,0.4949494949369962,0.32396693774009977,618,200,0.037878787877831346,0.06313131312971891,397,396
person-actor,0.2828618968338958,0.45576407505480526,0.34907597062615686,431,203,0.032171581768574486,0.06166219838976777,374,373
person-athlete,0.26802721088070713,0.4646226414984759,0.33994822658797386,538,227,0.02594339622580322,0.11792452829910555,405,424
product-car,0.232035928140239,0.4078947368313712,0.2958015220895126,513,225,0.04736842105138504,0.0763157894716759,366,380
product-weapon,0.22091310750779214,0.39577836410565226,0.28355387063294873,529,229,0.05013192612004929,0.09762532981272756,376,379
