type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.19282447785616783,0.3130261747808797,0.23864351689978475,10825,6955,0.10487198926889009,0.21965314287814777,,
art,0.2940340909076987,0.42130257801613774,0.34634689978544875,1491,853,0.060379918588464185,0.07123473541335662,1437,1474
building,0.2346241457848081,0.3626760563354741,0.28492392330568234,1680,905,0.014788732394262052,0.06760563380234082,1430,1420
event,0.172158154859258,0.294781382226412,0.21736869009148105,2010,1000,0.0035260930888326796,0.047249647390357905,1417,1418
location,0.19079627714482525,0.24372523117408373,0.21403711804278425,1565,1145,0.06803170409466294,0.11162483487376734,1545,1514
organization,0.17509157509093373,0.29433497536764575,0.2195682084589655,2252,1146,0.0486453201967448,0.12376847290564183,1590,1624
other,0.14675201517271988,0.25759467332393843,0.1869808139826266,3599,1784,0.045776113191653034,0.1235955056174632,2386,2403
person,0.20943186037798206,0.3505282784316313,0.26220362153660276,2129,1045,0.07147296457382553,0.13300186451129273,1663,1609
product,0.17442261289150493,0.31546134663144976,0.22463928509157696,2395,1098,0.07044887780504708,0.1128428927673763,1633,1604
art-music,0.37358818418441714,0.558441558434306,0.44768349337005364,721,340,0.04285714285658627,0.04025974025921741,741,770
art-writtenart,0.19875130072633973,0.27130681817796437,0.22942942454579993,770,513,0.07954545454432464,0.10511363636214327,696,704
building-hospital,0.23240589197845823,0.38797814207120246,0.29068576808524416,938,448,0.008196721311363432,0.05464480874242288,735,732
building-theater,0.23741007194000607,0.3357558139486082,0.2781456905080936,742,457,0.021802325581078454,0.08139534883602623,695,688
event-election,0.08270042194023039,0.15654952076427237,0.1082274940947357,1087,528,0.0,0.031948881788627016,618,626
event-sportsevent,0.2574416733688058,0.4040404040353025,0.3144963097388044,923,472,0.006313131313051602,0.059343434342685054,799,792
location-bodiesofwater,0.23809523809292427,0.33839779005057463,0.27952081659711386,784,479,0.04005524861823128,0.055248618783767287,746,724
location-other,0.13701657458412136,0.15696202531446884,0.1463126793870713,781,666,0.09367088607476366,0.16329113923843935,799,790
organization-government/governmentagency,0.15151515151394326,0.24327784890853676,0.18673218200047584,1064,591,0.06658130601707322,0.10243277848780495,764,781
organization-politicalparty,0.19512195121819023,0.34163701067210395,0.24838291904439794,1188,555,0.03202846975050975,0.14353499406709921,826,843
other-educationaldegree,0.11417697430909443,0.15075376884232722,0.12994043905708189,931,676,0.007537688442116361,0.027638190954426656,786,796
other-livingthing,0.15396578537982922,0.2351543942964946,0.18609022077982798,1088,644,0.07482185273070283,0.1876484560547785,833,842
other-medical,0.16002126528357247,0.39346405228243836,0.2275132234009521,1580,464,0.05359477124112948,0.152941176468589,767,765
person-actor,0.20017182130412225,0.29606099110170186,0.23885186601971795,931,554,0.08386277001164087,0.12325285895650251,827,787
person-athlete,0.21648136036483664,0.40267639902186525,0.2815823008517332,1198,491,0.05961070559538186,0.1423357664216261,836,822
product-car,0.18609406952838384,0.3429648241162944,0.24127264236631138,1194,523,0.05904522612991149,0.11306532663174541,807,796
product-weapon,0.16248256624712357,0.2883663366300945,0.20785012919705007,1201,575,0.08168316831582076,0.11262376237484377,826,808
