type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2416,0.1284,0.1677,5332,11530,0.01744186046511628,0.01350337584396099,,;
art,0.1087,0.0203,0.0343,205,1204,0.00975609756097561,0.014634146341463415,1229,230
building,0.1725,0.0863,0.115,494,1091,0.006072874493927126,0.0020242914979757085,1194,597
event,0.0326,0.0241,0.0277,801,1093,0.0,0.0012484394506866417,1120,828
location,0.205,0.1146,0.147,702,1398,0.038461538461538464,0.038461538461538464,1579,883
organization,0.2538,0.1117,0.1551,444,1201,0.015765765765765764,0.0045045045045045045,1352,595
other,0.2632,0.1518,0.1925,1316,2627,0.00303951367781155,0.015957446808510637,3097,1786
person,0.3363,0.2314,0.2741,882,1485,0.05215419501133787,0.009070294784580499,1932,1329
product,0.3768,0.1709,0.2352,488,1431,0.00819672131147541,0.018442622950819672,1726,783
art-music,0.1136,0.0165,0.0288,78,596,0.0,0.0,606,88
art-writtenart,0.1056,0.0241,0.0392,127,608,0.015748031496062992,0.023622047244094488,623,142
building-hospital,0.1168,0.061,0.0801,242,493,0.012396694214876033,0.0,525,274
building-theater,0.2198,0.1061,0.1431,252,598,0.0,0.003968253968253968,669,323
event-election,0.0178,0.0159,0.0168,441,494,0.0,0.0,502,449
event-sportsevent,0.0501,0.0307,0.0381,360,599,0.0,0.002777777777777778,618,379
location-bodiesofwater,0.2977,0.1553,0.2041,302,696,0.04304635761589404,0.016556291390728478,824,430
location-other,0.117,0.0702,0.0877,400,702,0.035,0.055,755,453
organization-government/governmentagency,0.0,0.0,0.0,0,559,0.0,0.0,559,0
organization-politicalparty,0.2538,0.1904,0.2176,444,642,0.015765765765765764,0.0045045045045045045,793,595
other-educationaldegree,0.2483,0.1481,0.1856,339,644,0.0029498525073746312,0.0029498525073746312,756,451
other-livingthing,0.2241,0.1091,0.1468,419,988,0.00477326968973747,0.031026252983293555,1109,540
other-medical,0.2981,0.1924,0.2338,558,995,0.0017921146953405018,0.012544802867383513,1232,795
person-actor,0.3414,0.274,0.304,490,673,0.08571428571428572,0.00816326530612245,927,744
person-athlete,0.3299,0.192,0.2428,392,812,0.01020408163265306,0.01020408163265306,1005,585
product-car,0.4037,0.1793,0.2484,223,691,0.013452914798206279,0.013452914798206279,842,374
product-weapon,0.3521,0.1629,0.2227,265,740,0.0037735849056603774,0.022641509433962263,884,409
