type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2709,0.1854,0.2201,3085,5036,0.008103727714748784,0.015235008103727715,,;
art,0.057,0.0153,0.0242,149,578,0.0,0.006711409395973154,587,158
building,0.2143,0.1366,0.1669,275,474,0.0,0.01090909090909091,549,350
event,0.0696,0.0581,0.0634,401,486,0.0,0.0024937655860349127,516,431
location,0.2311,0.1899,0.2085,489,627,0.034764826175869123,0.028629856850715747,774,636
organization,0.2862,0.1388,0.1869,207,515,0.004830917874396135,0.014492753623188406,598,290
other,0.2757,0.2221,0.246,867,1156,0.0,0.01384083044982699,1486,1197
person,0.453,0.3472,0.3931,343,534,0.011661807580174927,0.008746355685131196,818,627
product,0.3469,0.2201,0.2693,354,666,0.00847457627118644,0.02824858757062147,854,542
art-music,0.0706,0.0205,0.0317,79,287,0.0,0.012658227848101266,293,85
art-writtenart,0.0448,0.0102,0.0166,64,291,0.0,0.0,294,67
building-hospital,0.135,0.0961,0.1122,141,207,0.0,0.014184397163120567,229,163
building-theater,0.2834,0.1656,0.2091,134,267,0.0,0.007462686567164179,320,187
event-election,0.0462,0.0474,0.0468,227,221,0.0,0.0,232,238
event-sportsevent,0.0984,0.0669,0.0797,174,265,0.0,0.005747126436781609,284,193
location-bodiesofwater,0.3119,0.2411,0.272,225,321,0.03111111111111111,0.02666666666666667,423,327
location-other,0.1456,0.1282,0.1364,264,306,0.03787878787878788,0.030303030303030304,351,309
organization-government/governmentagency,0.0,0.0,0.0,0,260,0.0,0.0,260,0
organization-politicalparty,0.2862,0.2456,0.2643,207,255,0.004830917874396135,0.014492753623188406,338,290
other-educationaldegree,0.1341,0.1232,0.1284,226,249,0.0,0.008849557522123894,284,261
other-livingthing,0.2238,0.1817,0.2006,371,482,0.0,0.0215633423180593,589,478
other-medical,0.4105,0.3067,0.3511,270,425,0.0,0.007407407407407408,613,458
person-actor,0.4734,0.3747,0.4183,168,252,0.017857142857142856,0.005952380952380952,403,319
person-athlete,0.4318,0.3205,0.3679,175,282,0.005714285714285714,0.011428571428571429,415,308
product-car,0.3947,0.2069,0.2715,138,345,0.0,0.0,435,228
product-weapon,0.3121,0.2339,0.2674,216,321,0.013888888888888888,0.046296296296296294,419,314
