type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2059,0.1089,0.1425,5171,10969,0.0,0.0,,;
art,0.0545,0.0076,0.0134,156,1169,0.006910836636530469,0.008481830172900677,1178,165
building,0.126,0.0571,0.0786,451,1073,0.008789532031696934,0.00883843321207422,1138,516
event,0.0249,0.0203,0.0224,821,1013,0.005882727493215973,0.00440356490149036,1034,842
hospital,0.0,0.0,0.0,2,0,0.05263157894736842,0.05263157894736842,0,2
location,0.1605,0.1018,0.1246,795,1341,0.011577277574467547,0.006947801286359926,1493,947
media,0.0,0.0,0.0,2,0,0.0,0.008771929824561403,0,2
org,0.0,0.0,0.0,3,0,0.0,0.0,0,3
organization,0.1879,0.0882,0.12,471,1127,0.010664688308391346,0.005949870379694831,1236,580
other,0.2851,0.1522,0.1984,1116,2479,0.0077235409471642195,0.006930037935105031,2924,1561
per,0.0,0.0,0.0,1,0,0.0,0.0,0,1
person,0.2886,0.1875,0.2273,806,1417,0.006440313854453711,0.0053978085113419345,1744,1133
product,0.2803,0.1363,0.1834,547,1350,0.014471638014026749,0.00746439151688386,1563,760
art-literature,0.0,0.0,0.0,1,0,0.0,0.0,0,1
art-music,0.037,0.0069,0.0116,104,577,0.005450455178936079,0.004728440731275383,581,108
art-product,0.0,0.0,0.0,3,0,0.0,0.0,0,3
art-publication,0.0,0.0,0.0,1,0,0.0,0.0,0,1
art-science,0.0,0.0,0.0,1,0,0.014492753623188406,0.0,0,1
art-video,0.0,0.0,0.0,1,0,0.0,0.027777777777777776,0,1
art-written,0.0,0.0,0.0,5,0,0.015384615384615385,0.0,0,5
art-writtenart,0.1111,0.0084,0.0156,40,592,0.01049568365357839,0.020090747328552202,597,45
building-airfield,0.0,0.0,0.0,1,0,0.0,0.017543859649122806,0,1
building-amphitheater,0.0,0.0,0.0,1,0,0.0,0.0,0,1
building-building,0.0,0.0,0.0,1,0,0.21428571428571427,0.0,0,1
building-city,0.0,0.0,0.0,2,0,0.10714285714285714,0.0,0,2
building-facility,0.0,0.0,0.0,1,0,0.0,0.017543859649122806,0,1
building-fortress,0.0,0.0,0.0,1,0,0.0,0.027777777777777776,0,1
building-healthcarefacility,0.0,0.0,0.0,3,0,0.0,0.0,0,3
building-hospital,0.0798,0.0381,0.0516,219,480,0.007354945415681939,0.009522998599386786,499,238
building-hotel,0.0,0.0,0.0,2,0,0.05,0.06,0,2
building-hydroelectric,0.0,0.0,0.0,1,0,0.0,0.0,0,1
building-mill,0.0,0.0,0.0,2,0,0.014705882352941176,0.0,0,2
building-powerstation,0.0,0.0,0.0,1,0,0.13636363636363635,0.0,0,1
building-reservoir,0.0,0.0,0.0,2,0,0.0,0.0,0,2
building-store,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,0,1
building-structure,0.0,0.0,0.0,6,0,0.0033333333333333335,0.012923976608187135,0,6
