type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2416,0.1284,0.1677,5332,11530,0.0,0.0,,;
art,0.1087,0.0203,0.0343,205,1204,0.004808269409836406,0.0032850009573491975,1229,230
building,0.1725,0.0863,0.115,494,1091,0.006952095058317196,0.004083997777123333,1194,597
event,0.0326,0.0241,0.0277,801,1093,0.003553157933976629,0.004991795268498688,1120,828
location,0.205,0.1146,0.147,702,1398,0.008279675915464742,0.005805914156529569,1579,883
organization,0.2538,0.1117,0.1551,444,1201,0.005166831712917223,0.0030714973856031695,1352,595
other,0.2632,0.1518,0.1925,1316,2627,0.003969196972678195,0.003042996174493326,3097,1786
person,0.3363,0.2314,0.2741,882,1485,0.006629206940042546,0.00347795356343398,1932,1329
product,0.3768,0.1709,0.2352,488,1431,0.005867497848251352,0.004648883055150058,1726,783
art-music,0.1136,0.0165,0.0288,78,596,0.007809772177588268,0.0020000530870096086,606,88
art-writtenart,0.1056,0.0241,0.0392,127,608,0.002964826765075418,0.004074181539132566,623,142
building-hospital,0.1168,0.061,0.0801,242,493,0.006903182188976694,0.0037098707887477946,525,274
building-theater,0.2198,0.1061,0.1431,252,598,0.0069990669407791065,0.004443278456436351,669,323
event-election,0.0178,0.0159,0.0168,441,494,0.003535034895928764,0.0036786394603524173,502,449
event-sportsevent,0.0501,0.0307,0.0381,360,599,0.0035753586555852634,0.006600411133477869,618,379
location-bodiesofwater,0.2977,0.1553,0.2041,302,696,0.00989334475495251,0.004499831789694315,824,430
location-other,0.117,0.0702,0.0877,400,702,0.007061355941651477,0.006792006343490186,755,453
organization-government/governmentagency,0.0,0.0,0.0,0,559,0.0,0.0,559,0
organization-politicalparty,0.2538,0.1904,0.2176,444,642,0.005166831712917223,0.0030714973856031695,793,595
other-educationaldegree,0.2483,0.1481,0.1856,339,644,0.00408510025845987,0.0034372795484495585,756,451
other-livingthing,0.2241,0.1091,0.1468,419,988,0.004515433489718118,0.003739203674362121,1109,540
other-medical,0.2981,0.1924,0.2338,558,995,0.0034886157638615006,0.00228067895905213,1232,795
person-actor,0.3414,0.274,0.304,490,673,0.007988177656466961,0.003413766561328789,927,744
person-athlete,0.3299,0.192,0.2428,392,812,0.004930493544512026,0.003558187316065468,1005,585
product-car,0.4037,0.1793,0.2484,223,691,0.005642856531930362,0.004423609891789375,842,374
product-weapon,0.3521,0.1629,0.2227,265,740,0.0060565356351931655,0.0048384525473365945,884,409
