type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2515,0.199,0.2222,3508,4747,0.0,0.0,,;
art,0.1022,0.0406,0.0582,202,543,0.0014216806296014216,0.003964146414641464,566,225
building,0.2196,0.1621,0.1865,295,429,0.001084524205162291,0.0019508142239946825,512,378
event,0.061,0.0616,0.0613,462,457,0.0009601509601509602,0.003707446486564092,487,492
location,0.2483,0.2042,0.2241,445,573,0.0026794927918523423,0.003092115616205086,720,592
organization,0.2179,0.1272,0.1606,262,501,0.0016127214600497044,0.004728424113719413,574,335
other,0.2546,0.2565,0.2556,1095,1084,0.0012049525667575628,0.0017613632348682006,1458,1469
person,0.4006,0.345,0.3707,398,505,0.0019762318018303826,0.00224934194783441,771,664
product,0.344,0.2184,0.2672,349,655,0.0026653038704277537,0.0017851372481426286,838,532
art-music,0.1782,0.0629,0.093,83,268,0.001606425702811245,0.008032128514056224,286,101
art-writtenart,0.0403,0.0179,0.0248,119,275,0.0012928248222365871,0.0011268143621084798,280,124
building-hospital,0.1919,0.1364,0.1594,139,209,0.0005995203836930455,0.0014388489208633094,242,172
building-theater,0.2427,0.1852,0.2101,156,220,0.0015166750460868107,0.0024069884364002012,270,206
event-election,0.0375,0.05,0.0429,282,209,0.0015730132751409346,0.002144160079041442,220,293
event-sportsevent,0.0955,0.0712,0.0815,180,248,0.0,0.006156595191682911,267,199
location-bodiesofwater,0.2955,0.2524,0.2723,248,308,0.002532615234228137,0.0035878060901780064,412,352
location-other,0.1792,0.1396,0.1569,197,265,0.002864394488759971,0.0024680991819650646,308,240
organization-government/governmentagency,0.0,0.0,0.0,0,247,0.0,0.0,247,0
organization-politicalparty,0.2179,0.2232,0.2205,262,254,0.0016127214600497044,0.004728424113719413,327,335
other-educationaldegree,0.1858,0.21,0.1972,276,237,0.0014611158473051054,0.0006757533931446975,300,339
other-livingthing,0.2467,0.2224,0.2339,400,458,0.0016047008547008545,0.0030064502803017028,589,531
other-medical,0.3005,0.3163,0.3082,419,389,0.0006545936631574706,0.0012878393640860667,569,599
person-actor,0.429,0.357,0.3897,181,245,0.0017623567347324252,0.0011838989739542227,381,317
person-athlete,0.3746,0.3333,0.3528,217,260,0.0021546252909766055,0.0031380294053105114,390,347
product-car,0.3436,0.1935,0.2476,149,325,0.0033184190902311706,0.0014071521719329345,403,227
product-weapon,0.3443,0.2414,0.2838,200,330,0.0021787330316742084,0.002066736129918851,435,305
